Method,CPR Supervision,ID-mAP,ID-R@1,ID-R@5,ID-R@10,Full-mAP,Full-R@1,Full-R@5,Full-R@10
CLIP ViT-L/14 - Image-only,No,34.70,78.55,91.83,94.92,5.68,1.61,7.90,13.78
CLIP ViT-L/14 - Text-only,No,13.00,30.45,55.46,65.71,17.47,9.71,25.01,33.85
CLIP ViT-L/14 - Early Fusion,No,36.12,77.71,92.20,95.80,10.16,3.13,15.33,25.28
CLIP ViT-L/14 - Late Fusion,No,33.78,73.28,89.98,94.42,15.36,6.55,23.06,35.03
Grounding DINO + CLIP-ReID - Set,No,14.00,52.47,61.41,65.45,2.10,0.54,3.43,5.51
Grounding DINO + CLIP-ReID - Set + Text,No,18.47,55.56,70.86,76.30,8.17,3.63,12.24,17.48
Per-Person CLIP Compose + SetMatch,No,25.17,65.04,81.88,86.72,13.79,6.69,20.34,28.37
Qwen2.5-VL Rewrite + CLIP ViT-L/14,No,12.33,41.14,61.92,70.18,29.89,20.50,40.00,48.54
FAFA + SetMatch,No,28.88,74.15,90.25,93.61,46.29,33.58,61.88,70.08
Instruct-ReID + SetMatch,No,13.11,49.48,61.98,68.44,2.56,0.87,3.39,5.68
LinCIR,No,20.78,48.20,74.18,83.13,23.08,13.65,32.71,42.89
Pic2Word,No,22.75,51.90,77.28,84.47,21.75,12.24,30.99,41.28
