Method,SINGLE mAP,SINGLE R@1,MULTI mAP,MULTI R@1,RELATIONAL mAP,RELATIONAL R@1
CLIP ViT-L/14 - Image-only,5.21,1.50,8.94,2.22,11.98,3.80
CLIP ViT-L/14 - Text-only,18.39,10.33,10.87,4.89,5.24,2.53
CLIP ViT-L/14 - Early Fusion,9.87,3.00,12.66,4.00,12.78,5.06
CLIP ViT-L/14 - Late Fusion,15.41,6.55,15.55,7.11,13.05,5.06
Grounding DINO + CLIP-ReID - Set,1.94,0.45,2.91,1.33,5.04,1.27
Grounding DINO + CLIP-ReID - Set + Text,8.20,3.67,8.70,4.00,5.55,1.27
Per-Person CLIP Compose + SetMatch,14.28,7.04,11.54,4.89,3.66,0.00
Qwen2.5-VL Rewrite + CLIP ViT-L/14,31.08,21.53,23.32,13.78,8.68,5.06
FAFA + SetMatch,46.90,34.07,49.24,36.00,17.18,10.13
Instruct-ReID + SetMatch,2.42,0.82,3.75,0.89,4.19,2.53
Pic2Word,22.78,12.95,13.96,6.67,9.12,3.80
LinCIR,24.17,14.34,14.90,8.44,9.44,5.06
MagicLens Large,27.73,17.90,8.40,4.00,8.42,3.80
AdaFocal + SetMatch,46.44,35.01,40.14,30.22,3.33,2.53
BASIC + SetMatch,24.16,15.61,23.64,14.22,10.54,6.33
